user_id,product_id,rating,date,review_text,label,review_frequency,burstiness,rating_deviation,punctuation_intensity,capitalization_ratio
--1-HgcfL1vWbG-1hgn1oA,43rd1LKcZRIunySzbMsyLQ,4,2012-08-14,"GrEAT!!! foOD great service even though, PriCe!!! HIGH value great TASTY, meats?!",1,1,0,0.43795620437956195,0.09876543209876543,0.20987654320987653
--AGQM8GPHljgKdnLisXgQ,JDNZxz0ud7zhuPo5pqznMA,5,2008-08-22,"LOVE PLACE, FRIENDLY CLEAN FOOD DELICIOUS U CHOOSE SPICY SPICY U EASILY!! BRING! FRIENDS USED SPICY FOOD THEY LL... ENJOY TOO, TRULY LOVE PLACE BEST ETHIOPIAN RESTAURANT CHICAGO!...",1,1,0,1.1652173913043478,0.022099447513812154,0.7845303867403315
--cDU5woxccqoHW5jzxJBw,sR4EOfPuI-at41uIxIZPhw,5,2009-07-17,"I CAME BIRTHDAY DINNER?! LAST MONTH GREAT TIME!!! THE... FOOD AMAZING GIRLFRIEND... I SHARED?! CB J DUCK REUBEN HEAVEN WHOLE MEAL I ALSO!!! SNIPED DELICIOUS MUSSELS!!! FRIEND S PLATE WE!!! SAT?! NEAR ENTRANCE!! GETS CROWDED?! ORDER!! BAR IT BIT INCONVENIENT!!! WEAVING CROWDS ESPECIALLY COUPLE STRONG BEERS OVERALL SCENE SERVICE! SEEMED PAR BARS WE?! DEFINITELY CAME BEER THOUGH!? SERIOUSLY SELECTION! WORTH GETTING EXCITED I EVEN! SLACKED BIT WORK DAY!!! DEVISED ORDERED LIST BEERS TRY, EVENING MY EMBARRASSING ADMISSION I MAKE WAY LIST SUFFICE SAY NIGHT LIGHTEST BEER!!! 7 ABV TERMED RESOUNDING?! SUCCESS IT S BIT! WAY US QUITE FAR, UPTOWN I LL HOPEFULLY!? MAKING WAY BACK SOONER RATHER LATER A MUST FANS TASTY BEER!!! TASTY FOOD...",1,1,0,1.0179640718562872,0.0653950953678474,0.7629427792915532
--eQVss9nAx54FWsZHZgpA,boE4Ahsssqic7o5wQLI04w,5,2011-07-08,This place amazing love atmosphere menu style great wine amazin intresting comunal style cusine try lil bit everthing hands must stop ivanne bartender full e energy great advice place down i never go chi town without hitting spot cheers swine wine.,0,1,0,1.0093457943925235,0.0,0.004032258064516129
--wLozIyZ3VXKsJAsHPiAQ,KomhK0JD5cleEW55YTw7MQ,5,2009-01-23,"Probably best, caNToNese!? CHICAGO, eSpECiaLlY soups broth?! top NOTCH hon kee sTrEeT, BbQ items better!!! char SuI!!! PARTICLUAR! dishes much?! better!! AT 28 FIVE Course PEKING duck FEEDS 3?! 4 people PRACTICALLY?! giVinG AWAY anyone thinks!!! place atmosphere need?! die! this! place atmosphere INTERIOR, DECORATOR buy million doLLArs!!",1,2,1,1.2954545454545454,0.08259587020648967,0.2743362831858407
--wLozIyZ3VXKsJAsHPiAQ,ALwH81_sqskLmwfWS-_eeQ,4,2009-01-23,"Yeah pho good also HUNDRED THINGS mEnu In particluar, i, Ve ENJOYED!? raw beef salad!!! BO!? TAI chan THIT heo ram, man PORK Belly COoKed crock fish SAUCE!!! lemongrass chilies EAT rice typical vietnamese!! PLACES lot eNtrieS overpriced i wish still!!! wore camo!! UnifoRMs...",1,2,1,0.46464646464646453,0.06159420289855073,0.21739130434782608
-0JgqXwdswqVw5_JO1eA4g,tW2jfL-qMccAYZSghPBbHA,5,2009-11-09,"Art pizza?! gets, vote, bEST chicAgo pizza not pizza!! top notch!!! even!! buy sLiCE! Major, PErk i think, DElivErY sort con pizza well!! wOrth EfFORT go pick! up it melt mouth tYPE pizza?!",1,1,0,1.0462962962962963,0.07936507936507936,0.12698412698412698
-0tMiJGSi-3Y-AYq_k0MlQ,LlHEzxQTiiLJokn2tli35A,5,2012-03-18,"We TooK, family fiVE TrUly wonderful dining experience every item, seem served!! riGht cue eveRY dish FlAvOr filled joy bursts UNeXPECTED excitement!!",1,2,1,1.3191489361702127,0.02666666666666667,0.14666666666666667
-0tMiJGSi-3Y-AYq_k0MlQ,DBtXy8wcPsVr80oFfz-CbA,4,2012-03-18,"We went seeing diners!!! drive ins dives sOmetImeS gamble one PAId!? off we enjoyed environment!! service food THE shRImp oyster Po boy amazing I EVEN like seafood my?! 12YO ORDERED?! i PoT?! pIe mine!? good!!! I, wanted take!!! i tried it, my huSBaNd son cHicKeN sandwich monte!!! cristo, delicious we! also TRIED bbq pulled PORK nachos good!!! ALThOugH husband... felt chips crispy enough i loved It i looking foRWARd going BacK!! soon...",1,2,1,0.07058823529411784,0.06818181818181818,0.1318181818181818
-1u9Tb2FFQhjxeZuxY0xSA,IvdOI86_CSCRFpid2atnyA,2,2011-09-24,Tonight boyfriend i went late dinner got around 9 15 i called ahead host answered phone told take reservations said time night wait half hour we got 9 30 quoted 1 1 1 2 hour wait we figured since from north side would stick drink bar across street waited problem the restaurant called us 45 minutes table ready headed back frankly downhill there while food wine great unfortunately overshadowed worst service i ve experienced restaurant the hostess sat us walked thirty feet ahead us could barely see dropped menus table practically sprinted another direction keep mind almost 10 30 restaurant longer busy water glasses filled promptly good 5 10 minutes anyone acknowledged there someone finally came take order ordered bottle wine bruschetta cheese charcuterie plate the appetizers arrived wine flag another server actually get wine then entrees we pasta rigatoni sausage tomatoes parm arrived 3 seconds bruschetta et al so waiting maybe 15 minutes drinks felt rushed food we probably saw actual waiter twice first time took order end presented check the food good i go back there better italian restaurants city make jump hoops?!,0,1,0,2.2357142857142858,0.0017683465959328027,0.0008841732979664014
-2N-pSWoeBa6L06_5QLrQQ,yBRaSkuYwFhYEoucDyD0lA,2,2012-08-23,"Overrated greasy oily food so i checked place much excitement reading rave reviews yelp seeing popularity chef i even read menu extensively heading restaurant fully decide i wanted my group i ordered two cups chicken sole, fish fillet tofu mongolian beef soup clams tofu fried three seafood combo as many previous yelpers proclaim service slow nice friendly my waitress especially nice the two cups chicken overrated it salty saucy the cuts chicken nice tender though as vietnamese person used thit kho which little similar dish expectations high the sole fish fillet tofu took forever come out i impression would whole fish fillet actually small diced pieces fish doused chilli oil soft tofu it completely drenched point looked like soup ugh the mongolian beef bad especially americanized chinese entree the soup clams tofu one better dishes due freshness clams the fried seafood combo squid shrimp scallops delicious overall place left feeling like i digested much salt msg oil spice level great i admit place overrated!",0,1,0,1.393700787401575,0.0009784735812133072,0.0009784735812133072
-3UWI2WpnfIGANuHNjUG5A,jGiKIJCVLZHXQDSNnSLPsw,5,2012-06-28,"The ahogada best sandwich, i ve ever had the milanesa terrific well i tried one, thing i like!",0,3,0,1.0555555555555554,0.010638297872340425,0.010638297872340425
-3UWI2WpnfIGANuHNjUG5A,IvdOI86_CSCRFpid2atnyA,5,2012-07-09,"Unbelievable every bite unique experience no reservations leave cell phone they ll call table ready the wine selection, great try everything?!",0,3,0,0.7642857142857142,0.014084507042253521,0.007042253521126761
-3UWI2WpnfIGANuHNjUG5A,Z2nOMPedr7XYhgYhILJjEA,4,2012-07-19,After living area long time i finally opportunity check piece it great atmosphere make darn good wheel albeit dilapidated 16 x24 sheets serve pie it definitely younger crowd college feel it everyone pleasant the beer good server attentive if i pick one negative would air conditioning powerful enough cool entire space they ll need get fixed i m sure we ll back soon it s really lot fun?!,0,3,0,0.061797752808988804,0.005154639175257732,0.002577319587628866
-4CGFiAdgLAkkxfVn3wj6g,dKcO9OQ44RPRlkWe-vToFA,3,2011-10-28,"FOR!!! PRICE, I PAID FOOD TASTED BETTER JUST AVERAGE!",1,1,0,1.0650887573964498,0.07547169811320754,0.7547169811320755
-4SB9mt4sSy934PwTM_vjg,cQnY_VneZisfUAqcbuEuKg,2,2009-07-27,"I SURE HYPE... ABOUT... I VE PLENTY!!! YEARS MOST RECENTLY FIANCE INSITS,?! GO!? THE FOOD GOOD!! BUT GO GUERO FRIENDLY PLACES!!! CITY CLEANER... BAR, SERVICE OVERALL MUCH FUNNER AT... MY?! TEST RESTAURANTS CLEAN, BATHROOMS ARE THE TIMES I VE VENTURED IN THEY GENERALLY CLEAN OVER CROWDED STAY AWAY BACK ROOM! ROOM!? BATHROOMS?! ARE... WHY SMELLS LIKE BATHROOM OVERALL GOOD! FOOD OVERRATED THERE! NICER PLACES THERE...",1,1,0,1.5471698113207548,0.050359712230215826,0.7458033573141487
-4c8kdWh0VA2BmbsriUbaw,2WoMT3wSpp9vxZeTv6u-cw,5,2006-10-12,"I usually like go back restaurant twice year there s much explore taste my husband i moved lakeview january 2006 i think we ve, probably gone las tablas 8 9 times already it s good good value good food good atmosphere think authentic touristy if coming morton s smith wollensky kind steak house don t prepare boisterous atmosphere painted benches botticelli esque paintings highly recommend yuca app deliciously smeared cheese the steak octopus combo house special catfish mouth watering tender yet flavorful the empanadas best city wash beverage choice it s byob enjoy flan dessert a wonderful night date if really fun loving great first group...",0,1,0,1.3384615384615386,0.0,0.0015455950540958269
-4d1Goi8ZYXdY1l2nTXl2g,6PQTqW9j-sriDBQyQCJbjw,4,2010-08-21,"So, i came first, AGo, friends, heard mention... er noT Even sure one loved It great little iTaLiAN pLaCe great ambiaNce!!! i usUallY TRy maKE month love it?!",1,1,0,0.09278350515463885,0.03164556962025317,0.12025316455696203
-5TZsfHhjvVra9lSmDLLmw,sR4EOfPuI-at41uIxIZPhw,4,2009-11-11,"I LOVE PLACE THEY!! ADVENTUROUS FOOD MENU MILE LONG BEER LIST HEAVEN THE DRAW BACK!! WAIT NOT, SURE TAKE?! RESERVATIONS BAR CALL GIRLFRIENDS!!! MEET DINNER YOU WOULD!! PLAN ADVANCE GO WAIT LEAST 45 MINUTES I!!! SAUSAGE PLATE FRITES MY FRIENDS GOT MUSSELS KIND!! SANDWHICH, RAVING ABOUT THE SERVER SUGGESTING FOOD DRINK PAIRING GREAT?! US THE SERVICE GREAT ATMOSPHERE GREAT WAIT WORTH?! IT BUT I MAY STOP!! OFTEN I D LIKE I, M CRUNCHED TIME HUNGRY!",1,1,0,0.017964071856287234,0.05145413870246085,0.7718120805369127
